address_id,person_id,address_line,location_id,pincode,address_type
54284ae0-c2b3-405a-8c91-8dfa7dded135,aec12e43-108b-427a-aa5e-9172fc135ca3,"House No. 249, Munirka Colony, Sunoli",4084b2c2-1a7b-4c95-8daf-73b43d009467,263601,permanent
7bee4ad4-0588-4b29-aec7-e0b13199aca7,cc1a9eaf-455e-4d5e-bd79-a5b244d64a1f,"House No. 249, Munirka Colony, Sunoli",4084b2c2-1a7b-4c95-8daf-73b43d009467,263601,permanent
8ee3671d-72cd-421d-b866-62c045576d3a,2fb9ccba-04e4-4ccc-96fd-eb1d1b3c35f7,"House No. 226, Camac Street Colony, Sunoli",4084b2c2-1a7b-4c95-8daf-73b43d009467,263601,permanent
eab0a282-a724-4bf0-affb-246f08b0e70d,5c967353-da8f-4dfc-9a6b-ecda50d103bb,"House No. 226, Camac Street Colony, Sunoli",4084b2c2-1a7b-4c95-8daf-73b43d009467,263601,permanent
c743d923-c5c1-49f8-b3f3-e2488afebbb9,a6a6df1b-5f66-4c8b-b473-5a3ab770f17a,"House No. 226, Camac Street Colony, Sunoli",4084b2c2-1a7b-4c95-8daf-73b43d009467,263601,permanent
3622ca9a-278e-4458-ac43-58bbe90bba0a,53240630-41a5-484a-b367-e3c8ea343e4c,"House No. 226, Camac Street Colony, Sunoli",4084b2c2-1a7b-4c95-8daf-73b43d009467,263601,permanent
d5279dca-4af6-48e0-98df-522bbc254cd4,565e485b-93b0-4779-8562-889a76de5c1d,"House No. 126, Palam Marg Road, Sunoli",4084b2c2-1a7b-4c95-8daf-73b43d009467,263601,permanent
ee428667-f6b8-429c-874b-a496d9e36c04,ad49bd53-d644-487a-8590-ae1d570c3454,"House No. 126, Palam Marg Road, Sunoli",4084b2c2-1a7b-4c95-8daf-73b43d009467,263601,permanent
29de0a9f-4185-4896-a3b5-a63cf40f3a59,ad49bd53-d644-487a-8590-ae1d570c3454,"House No. 139, Khan Market Extension, Govandi",12fd7c68-ddcd-4eb1-8122-5e012bed78f1,400088,current
af786b46-0eb7-4032-9214-be422630d7c1,5d306493-b101-41ff-8897-5fb63e8d853f,"House No. 118, Chanakyapuri Colony, Artiyan Kallan",c02d795c-a08a-4eac-b4c4-4fefaf879cf7,342606,permanent
076999a1-6618-4f01-93c0-6bd138880436,7a8dcb3d-2353-4f1c-8481-583a228493ce,"House No. 118, Chanakyapuri Colony, Artiyan Kallan",c02d795c-a08a-4eac-b4c4-4fefaf879cf7,342606,permanent
7576ffc3-1a09-4d22-a431-9b7d2d582f66,7a8dcb3d-2353-4f1c-8481-583a228493ce,"House No. 102, Vasant Kunj Street, Padumbasan",3548beb9-6adf-49db-968e-bb7eea1585ad,721636,current
410e9d09-30d6-46bd-bef5-6090047e71de,da22d3e9-8ebe-4152-94ca-c6259d859ad8,"House No. 118, Chanakyapuri Colony, Artiyan Kallan",c02d795c-a08a-4eac-b4c4-4fefaf879cf7,342606,permanent
f5326ca0-8259-401c-939d-3e33889b7829,6bfc4329-68a0-4317-9c16-a40b7be04ac2,"House No. 104, Ramesh Nagar Road, Masgaon",86fefb20-41f1-4cf7-8888-b9afdb990b01,210506,permanent
c053fe8f-f31e-4526-be02-ca6355cede12,0b96f7c8-c4cb-43cf-aba8-22d1638b549b,"House No. 104, Ramesh Nagar Road, Masgaon",86fefb20-41f1-4cf7-8888-b9afdb990b01,210506,permanent
17924329-1483-4a84-834d-3e073de71c4e,16817167-1c76-444a-b3c0-c65e54712a2a,"House No. 104, Ramesh Nagar Road, Masgaon",86fefb20-41f1-4cf7-8888-b9afdb990b01,210506,permanent
b039210f-4dfb-4132-a7dd-4d6de7d5226e,7d6f20e1-961e-46de-8504-3ea2f6d7692a,"House No. 104, Ramesh Nagar Road, Masgaon",86fefb20-41f1-4cf7-8888-b9afdb990b01,210506,permanent
cfd080c6-5432-4bf1-b2dc-a1feb0ae1371,7d6f20e1-961e-46de-8504-3ea2f6d7692a,"House No. 274, Brigade Road Colony, Kalikrishnagar",cc25d34d-0396-4913-b1c3-0766f4f66c68,799132,work
31e25b48-794d-43f1-a3f0-e783e4dd495c,bb92ad30-66e1-4be1-b2ff-cf53d52b6c13,"House No. 122, Civil Lines Lane, Masgaon",86fefb20-41f1-4cf7-8888-b9afdb990b01,210506,permanent
8fbeb9c0-2caa-45c8-828f-6504bca5f595,73afdf7b-f403-4f68-a828-79d245d66657,"House No. 167, Satya Marg Enclave, Masgaon",86fefb20-41f1-4cf7-8888-b9afdb990b01,210506,permanent
599861b1-19e1-4d56-b9bb-62bac28f5716,3c9c5911-b0c5-46cd-8e9f-f136e566c0be,"House No. 297, Pedder Road Enclave, Masgaon",86fefb20-41f1-4cf7-8888-b9afdb990b01,210506,permanent
ec7f384a-c574-4351-af86-f50a68a09af9,3c9c5911-b0c5-46cd-8e9f-f136e566c0be,"House No. 135, Bypass Road Street, Devenampalayam",a684d76b-fc88-4771-ac63-cb6776a45e23,642120,work
1f97485c-daef-4bd3-9732-cd6317107a7a,836fb355-2c29-4670-84f7-d2bbc5a3a9f9,"House No. 220, Raja Ram Mohan Roy Road Enclave, Masgaon",86fefb20-41f1-4cf7-8888-b9afdb990b01,210506,permanent
754ddea2-a54c-4c17-9565-37b37952a5c9,24abd191-d037-4855-b375-7a464e656ced,"House No. 220, Raja Ram Mohan Roy Road Enclave, Masgaon",86fefb20-41f1-4cf7-8888-b9afdb990b01,210506,permanent
53e799b5-b8fe-45e1-8a27-711bf7619bbf,e8b38c53-06e8-4472-92b1-ba4b33753200,"House No. 220, Raja Ram Mohan Roy Road Enclave, Masgaon",86fefb20-41f1-4cf7-8888-b9afdb990b01,210506,permanent
f1cfead3-561c-47f1-8057-aeec92efcfe1,f3cb50b6-edbb-44e2-987c-13cf7b2b22ef,"House No. 220, Raja Ram Mohan Roy Road Enclave, Masgaon",86fefb20-41f1-4cf7-8888-b9afdb990b01,210506,permanent
