report_id,fir_id,case_id,report_date,officer_name,report_type,involved_person_ids,narrative
9e4fd973-784e-4b02-8ade-3deddbe0e0ce,86e9df7c-5fa9-482e-92e6-d849d931f6b5,419255c5-c457-4c9f-bcda-0a7c3d99e2ba,2024-06-21,Deepak Iyer,follow_up_investigation,6da2a43c-3bff-4bc9-b9d0-5d6b9b496b89,"On 2024-06-21, as part of the ongoing inquiry into the incident reported by Vinita Viswanathan on 2024-03-28 at Chargola Bazar, Assam, the investigating team conducted a follow-up visit to the N C Line area to examine local financial records and communication logs. A local shopkeeper corroborated observing Vinita engaged in several tense discussions regarding money transfers with an unidentified associate prior to the date of the FIR. Further analysis of the recovered transaction slips is currently underway at the district forensic unit to verify the legitimacy of the disputed demands. The case status remains under active investigation while police await the final forensic report before summoning additional witnesses for formal statements."
63703fc0-a78b-4c64-9628-bd1f10620ed8,8e37aaed-72b0-4ce7-837e-a8f0d075f82a,965473d2-140c-4f93-a2ec-6146894edced,2025-06-15,Nisha Reddy,follow_up_investigation,58403a85-3bb2-4384-b35a-06d05951268a,"On 2025-06-15, in connection with the ongoing inquiry originating from Lasiyari, Uttarakhand, investigating officers conducted a detailed follow-up visit to the Esplanade market area and reviewed bank records associated with complainant Chirag Bajaj. Local shopkeeper Ramesh Kumar provided an additional statement confirming that he observed the complainant in deep conversation with an unfamiliar local associate on multiple occasions prior to the reported incident. Financial scrutiny of recent ledger entries indicates several unverified cash transfers, though no formal pattern of organized criminal involvement has been established at this stage. Further digital footprint analysis of the concerned parties is currently underway, and the case status remains under active investigation."
288a98d0-8041-45aa-a3b4-79e1616f1155,8e37aaed-72b0-4ce7-837e-a8f0d075f82a,965473d2-140c-4f93-a2ec-6146894edced,2025-06-15,Sunil Rao,surveillance_liaison_note,58403a85-3bb2-4384-b35a-06d05951268a,"On 15-06-2025, during the ongoing follow-up inquiry pertaining to the FIR registered by complainant Chirag Bajaj in Lasiyari, Uttarakhand, local intelligence surveillance was conducted near the Esplanade market area. Field observations corroborated by a local vendor statement revealed that the subject had been observed holding repeated undisclosed meetings with an unidentified financial associate over the past week. Further investigative actions will focus on securing bank transaction records and summoning the newly identified individual for formal questioning to ascertain the exact nature of the monetary coercion."
fee30b9d-6352-4d3f-a2fa-bf6bfd2c9f78,6ba8acef-933d-46f5-bd57-af9a0a8d7fd9,8e27cb1e-4acc-4c47-ba20-63020505ffb3,2024-03-11,Arun Sharma,follow_up_investigation,"c529d9ef-2cd1-45c2-9e04-a55827105e21,f41f457b-1975-41bc-97f0-d83efefcce31","On 2024-03-11, continuing the investigation from FIR registered at Shampur Police Station, Telangana, field inquiries were conducted regarding the financial transactions between Ritesh Hussain and Malini Dhillon. A local shopkeeper near the commercial alley corroborated seeing the duo meet on multiple occasions prior to the disputed transaction, exchanging heavy leather pouches. Subsequent analysis of bank records revealed a series of rapid cash transfers preceding the incident, necessitating a formal summons for both parties to account for the discrepancies. The inquiry remains active as investigators await supplementary statements from the financial institutions involved."
431a0ff2-1749-4817-9319-892795c6fc73,de9fd85d-161c-460c-bfd3-54cb03a2ea5c,c96763f4-da85-4d19-91b0-4873ddb73a38,2023-12-01,Nisha Iyer,witness_statement,"df8f9173-d8b6-46df-ad3c-2ebcbba09b2e,16757341-7413-4caa-a82d-50e53ac5a3c5","On 2023-12-01, as part of the ongoing inquiry into the FIR filed at Singibahar, Chhattisgarh, this investigator recorded a supplementary statement from local resident Rameshwar Prasad, who reported observing repeated meetings between Vijay Basu and Rukmini Chakraborty near the Mandar Kalan toll plaza prior to the incident. Financial document scrutiny reveals multiple high-value transactions moving between the accounts of Basu and Chakraborty during October 2023, though the legitimate business justification for these transfers remains unverified. Further investigative steps will include summoning Chakraborty for formal questioning regarding these financial exchanges and conducting a detailed review of her taxi fleet logs to ascertain vehicle movements on the date in question."
b335b646-a126-4d82-8e22-e1c79529746c,de9fd85d-161c-460c-bfd3-54cb03a2ea5c,c96763f4-da85-4d19-91b0-4873ddb73a38,2023-11-15,Kavita Sharma,forensic_report,"df8f9173-d8b6-46df-ad3c-2ebcbba09b2e,16757341-7413-4caa-a82d-50e53ac5a3c5","On 2023-11-15, as part of the ongoing inquiry into the FIR registered within the Singibahar jurisdiction, investigating officers conducted a follow-up examination of financial records and statements related to Vijay Basu and Rukmini Chakraborty. A local shopkeeper corroborated observing the parties engaging in heated exchanges near the market square on multiple prior occasions, noting an unusual pattern of secretive document exchanges. Subsequent forensic analysis of the digital devices recovered from the scene revealed several unverified transaction logs warranting deeper scrutiny. Investigators have summoned both individuals for a joint interrogation session scheduled for the upcoming week to clarify the discrepancies."
95f070a8-bff6-447d-aa51-418b7e7044bf,9a4f35d4-dd3f-427f-993f-452d8ecd02d2,8e27cb1e-4acc-4c47-ba20-63020505ffb3,2023-10-05,Rajesh Nair,surveillance_liaison_note,"7d6f20e1-961e-46de-8504-3ea2f6d7692a,45fde464-2062-4c6b-8c6d-947c4580b94d,50873f12-f502-48f0-b7b9-1ca825fbb932","On 2023-10-05, pursuant to the ongoing inquiry originating from FIR filed at Shampur Police Station, a surveillance and liaison detail was conducted regarding the interactions between Leela Singhal, Nikunj Srivastava, and Pooja Chowdhury. Field observations corroborated by a local informant near Silitia noted repeated clandestine meetings outside standard business hours, though no overt illegal transactions were documented at this stage. Further investigative efforts will focus on analyzing financial ledger entries obtained from the commercial establishment to clarify the nature of these associations."
0859a930-5d97-473e-8f27-8974fc612f62,9a4f35d4-dd3f-427f-993f-452d8ecd02d2,8e27cb1e-4acc-4c47-ba20-63020505ffb3,2023-10-21,Anita Kumar,follow_up_investigation,"7d6f20e1-961e-46de-8504-3ea2f6d7692a,45fde464-2062-4c6b-8c6d-947c4580b94d,50873f12-f502-48f0-b7b9-1ca825fbb932","On 21-10-2023, pursuant to the ongoing inquiry into the FIR registered at Shampur Police Station, the investigating team conducted targeted follow-up verifications involving Leela Singhal, Nikunj Srivastava, and Pooja Chowdhury. A confidential witness at the Silitia warehouse location reported observing repeated, uncharacteristic meetings between Srivastava and Chowdhury during late evening hours over the past fortnight. Financial ledger excerpts obtained from Singhal's establishment further corroborate irregular transactions coinciding with these dates, prompting formal requests for bank statement clarifications. The case status remains under active investigation while forensic analysis of the seized digital records is awaited from the regional laboratory."
03c36e6b-1046-4780-8a39-1d9873b7bb39,04abf6a0-ff86-4dd5-90f6-e56e296ad621,f2f115ab-5b0b-4cdc-a136-b775845814d5,2025-04-22,Anita Sharma,forensic_report,"43d397f3-6279-4e7b-b1e1-d2dd053d82d2,29e44cfd-7d35-4a04-ae90-6fdf73acc416","On 22-04-2025, in connection with the ongoing inquiry originating from Lundra PS FIR dated 2025-04-13, investigating officers examined financial ledgers and digital transaction records obtained from electronics dealer Sourav Rahman at Barooki. A supplementary statement recorded from an independent local merchant near Cunningham Road corroborated that delivery executive Pratham Krishnan had engaged in multiple hurried exchanges of boxed electronics outside normal business hours over the preceding month. Forensic mirror-imaging of the seized mobile devices is currently underway at the regional cyber cell to map communication logs between the two individuals. The case status remains under active investigation pending receipt of the final technical analysis reports."
f7de6ad3-0e98-4513-b795-a943bf9ae6df,04abf6a0-ff86-4dd5-90f6-e56e296ad621,f2f115ab-5b0b-4cdc-a136-b775845814d5,2025-04-21,Nisha Sharma,follow_up_investigation,"43d397f3-6279-4e7b-b1e1-d2dd053d82d2,29e44cfd-7d35-4a04-ae90-6fdf73acc416","On 2025-04-21, as part of the ongoing inquiry stemming from the FIR registered at Lundra Police Station, investigators examined financial transaction records provided by Sourav Rahman, an electronics dealer from Barooki, which revealed multiple high-value digital transfers to Pratham Krishnan preceding the interception on Cunningham Road. A localized neighborhood witness confirmed observing Krishnan frequently visiting Rahman's establishment during late evening hours under unusual circumstances over the past month. Further procedural steps will include a forensic analysis of the seized mobile devices and the formal recording of statements from additional commercial associates in the district to clarify the exact nature of these transactions."
