account_id,person_id,organization_id,account_number,account_type,ifsc_code,opened_date,status
d703b101-049f-4631-8f11-7604b1ac34cb,aec12e43-108b-427a-aa5e-9172fc135ca3,74cbcd35-a499-4126-9ef6-5f152493f4c3,8291471223650,savings,VIND0648538,2020-11-17,active
5dc34964-ad02-44bf-97b7-412dd72a5b3f,cc1a9eaf-455e-4d5e-bd79-a5b244d64a1f,995610ee-7319-44cf-91d6-762cbabda860,86136361932270,savings,ARYA0627280,2019-04-04,active
9a417800-7872-4268-a54b-156d394cab08,2fb9ccba-04e4-4ccc-96fd-eb1d1b3c35f7,74cbcd35-a499-4126-9ef6-5f152493f4c3,955519532616,savings,VIND0565158,2016-02-29,active
ebcc52b1-56ef-46e2-b245-8219fdd1e343,5c967353-da8f-4dfc-9a6b-ecda50d103bb,b3d110d6-dd86-46e5-afdd-29626fb388bc,764013377886,savings,BHAR0585110,2018-03-11,active
b6a829ce-75ca-421d-804b-912c61491def,a6a6df1b-5f66-4c8b-b473-5a3ab770f17a,62caaed0-52b6-4150-8182-69dce04eace6,50905737733584,savings,HIMA0243923,2021-10-03,active
026a9a74-9c71-407e-9c41-66d2d6bb5daa,53240630-41a5-484a-b367-e3c8ea343e4c,74cbcd35-a499-4126-9ef6-5f152493f4c3,91193525891623,savings,VIND0361713,2024-08-30,active
1d6f3462-da17-447b-b389-d64ba81739ae,565e485b-93b0-4779-8562-889a76de5c1d,74cbcd35-a499-4126-9ef6-5f152493f4c3,838338545067552,savings,VIND0485188,2017-10-12,active
2299ff9b-c7b1-4ae6-8b1b-a81ea5bd462d,ad49bd53-d644-487a-8590-ae1d570c3454,995610ee-7319-44cf-91d6-762cbabda860,25532847061019,savings,ARYA0166984,2024-11-23,active
01d9d13d-ce17-4112-b592-91f5c5e47435,5d306493-b101-41ff-8897-5fb63e8d853f,995610ee-7319-44cf-91d6-762cbabda860,90156239169572,current,ARYA0749636,2016-02-23,active
086d130f-6642-4e82-8d74-cc016d63eacd,7a8dcb3d-2353-4f1c-8481-583a228493ce,028cd423-18ca-4188-9745-0259bc076a11,380539250811,current,KALI0972464,2016-09-05,active
