fir_id,fir_number,case_id,filed_date,location_id,primary_complainant_person_id,involved_person_ids,narrative,status
86e9df7c-5fa9-482e-92e6-d849d931f6b5,FIR/AS/2024/1000,419255c5-c457-4c9f-bcda-0a7c3d99e2ba,2024-03-28,b9753cbb-9cd4-451b-9705-22cc5bde2d04,6da2a43c-3bff-4bc9-b9d0-5d6b9b496b89,6da2a43c-3bff-4bc9-b9d0-5d6b9b496b89,"On 2024-03-28 at approximately 1430 hours, complainant Vinita Viswanathan, a 40-year-old postal worker residing at N C Line, Uttar Pradesh, reported an altercation regarding an alleged financial demand at Chargola Bazar, under the jurisdiction of Chargola Bazar Police Station and Cumballa Hill Police Station area. The complainant stated that an unidentified individual confronted her near a local marketplace, demanding an unauthorized payment under duress while brandishing a disputed promissory note as evidence. A nearby shopkeeper intervened as a witness, noting the heated exchange before the person departed towards the main road. Preliminary investigation notes indicate that officers are reviewing nearby CCTV footage and verifying the authenticity of the recovered document to determine the nature of the transaction.",closed
8e37aaed-72b0-4ce7-837e-a8f0d075f82a,FIR/UT/2025/1001,965473d2-140c-4f93-a2ec-6146894edced,2025-05-21,a1ac6dda-cf2b-4f37-b3bf-4697fe4e7bff,58403a85-3bb2-4384-b35a-06d05951268a,58403a85-3bb2-4384-b35a-06d05951268a,"On 2025-05-21 at approximately 1430 hours, complainant Chirag Bajaj, a 79-year-old female Jewellery Dealer residing in Melarasambattu, Tamil Nadu, reported an altercation concerning alleged financial coercion near the Esplanade market area under the jurisdiction of Lasiyari Police Station. During a purported business transaction involving a silver-colored car bearing registration TN14PW0089 and a black motorcycle registered as TN31TU3017, a dispute arose regarding the transfer of funds and valuable ornaments. A local tea stall vendor witnessed raised voices between the involved parties before the prompt dispersal of the vehicles. Investigating officers recovered a handwritten ledger detailing monetary transactions from the scene, which has been seized for forensic verification. Preliminary inquiries are underway to ascertain the veracity of the financial claims made by the complainant.",chargesheet_filed
6ba8acef-933d-46f5-bd57-af9a0a8d7fd9,FIR/TE/2024/1002,8e27cb1e-4acc-4c47-ba20-63020505ffb3,2024-02-03,a67d384b-edfc-4caa-8a46-8b72e3208724,c529d9ef-2cd1-45c2-9e04-a55827105e21,"c529d9ef-2cd1-45c2-9e04-a55827105e21,f41f457b-1975-41bc-97f0-d83efefcce31","On 2024-02-03 at approximately 14:30 hours, acting on a tip-off regarding a disputed transaction, personnel from Shampur Police Station proceeded to a commercial alley within the jurisdiction of Colaba Police Station in Shampur, Telangana. At the location, complainant Ritesh Hussain, a 39-year-old female fisherman residing in Dungri Pindarpar, Uttarakhand, was found engaged in a heated verbal altercation with accused Malini Dhillon, a 34-year-old female jewellery dealer residing in Kachhwa, Uttar Pradesh, over the exchange of a motorcycle bearing registration UK60HE2798 and a car bearing registration UP19JV2188. A local tea-stall vendor corroborated that a large sum of unaccounted cash and several small packets containing suspected narcotic powder were visible on the hood of the car during the dispute. Preliminary inquiry notes indicate that both individuals were detained for questioning while the recovered substances were seized and forwarded to the forensic laboratory for chemical analysis.",pending_trial
de9fd85d-161c-460c-bfd3-54cb03a2ea5c,FIR/CH/2023/1003,c96763f4-da85-4d19-91b0-4873ddb73a38,2023-11-07,d890e6e8-e9d5-40b8-8d55-7f7573bd97a1,df8f9173-d8b6-46df-ad3c-2ebcbba09b2e,"df8f9173-d8b6-46df-ad3c-2ebcbba09b2e,16757341-7413-4caa-a82d-50e53ac5a3c5","On 2023-11-07 at approximately 14:30 hours, police responded to a reported dispute near the main market square within the jurisdiction of Bandra Police Station, falling under Singibahar. Complainant Vijay Basu, age 41, an Import-Export Consultant residing in Laugaon, Uttar Pradesh, alleged an altercation arose during a commercial discussion with Rukmini Chakraborty, age 69, a Taxi Fleet Operator residing in Mandar Kalan, Punjab. The disagreement purportedly involved transactions connected to vehicles bearing registration numbers UP43TQ5199 and PB13SG5810, which were parked nearby at the time of the incident. A local shopkeeper corroborated that raised voices were heard prior to the arrival of law enforcement personnel. Officers secured a ledger containing financial records from the scene as potential evidence for further verification. Preliminary inquiry into the matter is currently underway to determine the exact sequence of events.",closed
9a4f35d4-dd3f-427f-993f-452d8ecd02d2,FIR/TE/2023/1004,8e27cb1e-4acc-4c47-ba20-63020505ffb3,2023-09-14,a67d384b-edfc-4caa-8a46-8b72e3208724,7d6f20e1-961e-46de-8504-3ea2f6d7692a,"7d6f20e1-961e-46de-8504-3ea2f6d7692a,45fde464-2062-4c6b-8c6d-947c4580b94d,50873f12-f502-48f0-b7b9-1ca825fbb932","On 2023-09-14 at approximately 1430 hours, acting on a tip-off regarding suspicious activities, a patrol team from Shampur Police Station proceeded to a commercial establishment located near the main market area within the jurisdiction of Colaba Police Station. Upon arrival, officers observed shopkeeper Leela Singhal engaged in a heated altercation with warehouse supervisor Pooja Chowdhury over a disputed cash transaction, while librarian Nikunj Srivastava stood nearby as a witness. During the preliminary inquiry, a local shopkeeper corroborated that frequent unverified visitors had been congregating at the premises during late hours, prompting the temporary seizure of a motorcycle bearing registration UP14VL8275 and a car bearing registration OD50QH9810 for verification purposes. Preliminary investigation notes indicate that further statements will be recorded from all involved parties and registered vehicle owners to ascertain the exact nature of the financial dealings.",chargesheet_filed
04abf6a0-ff86-4dd5-90f6-e56e296ad621,FIR/CH/2025/1005,f2f115ab-5b0b-4cdc-a136-b775845814d5,2025-04-13,d0184a09-161d-4442-9ae0-17c96fb4622e,43d397f3-6279-4e7b-b1e1-d2dd053d82d2,"43d397f3-6279-4e7b-b1e1-d2dd053d82d2,29e44cfd-7d35-4a04-ae90-6fdf73acc416","On 2025-04-13 at approximately 1430 hours, acting on a tip-off regarding suspicious transactions near Cunningham Road, police personnel from Lundra Police Station reached the spot and intercepted a motorcycle bearing registration AS55ND9123. Pratham Krishnan, acting as a Delivery Executive, was found interacting with Sourav Rahman, an Electronics Dealer, near a local tea stall where a local shopkeeper observed the exchange. During a routine check, officers recovered an unmarked plastic pouch containing suspected contraband from the possession of the individuals, prompting a preliminary inquiry. A local witness confirmed the presence of both parties at the scene prior to police arrival. Investigation notes indicate that samples of the seized substance have been dispatched for forensic verification and further questioning is underway.",chargesheet_filed
298e1a21-ae87-4444-9d47-632adec01804,FIR/RA/2024/1006,b9787f53-534b-412b-9b7f-7e0190046463,2024-06-16,3bcf3cb2-15e9-4118-b082-241e75e7f818,94d607d7-3492-48ab-a373-f24cb1390211,"94d607d7-3492-48ab-a373-f24cb1390211,38d66af9-6e50-457c-8c19-f962a9c6b435,2090861b-d686-40ef-bb36-c556e162d4dc","On 2024-06-16 at approximately 1430 hours, acting on intelligence regarding an unlicensed activity check, police personnel from Nawad Police Station proceeded to a commercial yard near Kapurthala Police Station limits, where an altercation was reported during a business dealing involving scrap materials between Raj Jadhav, female, age 48, scrap dealer, and Lalit Gupta, female, age 41, courier service operator. Upon arrival, officers observed an auto-rickshaw bearing registration TN25BB1055 alongside a parked truck bearing registration GJ56AB8922, near which Saraswati Bajaj, female, age 53, plumber, was present as a witness alongside a local shopkeeper. During a preliminary inquiry into the dispute, investigating officers recovered a suspicious cash sum and undetermined powdery substances from the immediate vicinity of the vehicles for forensic evaluation. Investigation notes indicate that statements from all concerned parties have been recorded, and the seized materials have been dispatched for chemical analysis to determine their exact nature.",closed
0ef1e846-a18b-4eae-a50a-2759acf59415,FIR/AS/2024/1007,7d104ee8-3694-4a75-ae8d-165f02f3074f,2024-07-28,b9753cbb-9cd4-451b-9705-22cc5bde2d04,4285df9b-9b16-4ccd-9844-3508c0d49fdc,4285df9b-9b16-4ccd-9844-3508c0d49fdc,"On 2024-07-28 at approximately 1430 hours, complainant Prashant Ghosh, a 41-year-old female Wholesale Trader residing in Utari, Jharkhand, reported an altercation regarding an alleged financial demand at a marketplace near Cumballa Hill Police Station jurisdiction, Chargola Bazar, Assam. According to the preliminary statement, the complainant was approached by an unidentified individual on a motorcycle bearing registration JH54SE5356 who insisted on an immediate cash payment under disputed commercial terms. A local shopkeeper present at the scene noted the heated exchange and briefly intervened before the individual departed southwards. Investigating officers recovered a handwritten memorandum from the counter which is currently undergoing forensic examination. Preliminary inquiries at Chargola Bazar Police Station are ongoing to ascertain the exact nature of the monetary dispute.",under_investigation
c1188677-7f52-441a-91a6-a24b845cf3a9,FIR/OD/2025/1008,9e1a4a07-e50c-4870-864f-2d705f28fae5,2025-04-03,0f50f615-7033-4550-b3c0-1327c1c40070,598b970f-3219-4a29-a843-eb1703d9bcc2,598b970f-3219-4a29-a843-eb1703d9bcc2,"On 2025-04-03 at approximately 1430 hours, complainant Mohit Gill, a 75-year-old Freight Forwarding Agent residing in Dubara, Uttar Pradesh, reported a suspected financial fraud at a commercial establishment within the jurisdiction of Connaught Place Police Station, falling under the Hundapalasapal Police Station limits, Odisha. The complainant stated that a high-value security cheque issued in connection with professional freight forwarding transactions was dishonored by the drawee bank due to insufficient funds, while a local shopkeeper corroborated the suspicious exchange of disputed financial documents. Investigators recovered the bounced negotiable instrument and related bank memo from the complainant as primary physical evidence for forensic verification. Preliminary inquiry suggests a deliberate breach of financial trust, and the case has been formally registered for further procedural investigation.",under_investigation
068c5bd8-1d30-4e99-8b1e-1d39790e8ee3,FIR/HA/2025/1009,a7849323-bce8-46b2-a835-75ac4446df2d,2025-02-06,3882bfc6-6f3e-42f1-acd5-875175110e2b,4556cc56-b8be-4b38-9780-75ecd506fb1d,"4556cc56-b8be-4b38-9780-75ecd506fb1d,55cfdf10-a1a9-4735-ae66-8aae4018cb6a,6180b099-5e5e-4247-9219-81bf4309f50f","On 2025-02-06 at approximately 1430 hours, complainant Swapna Raina, a 32-year-old Pharmacist residing at Chargola Bazar, Assam, reported to the Chormar Police Station within the jurisdiction of Karol Bagh Police Station regarding a suspicious financial transaction and cheque-bounce dispute involving accused Abhay Banerjee, a 26-year-old Government Clerk from Ichak, Jharkhand, and witness Rishabh Bansal, a 52-year-old Commission Agent from Ilanganathapuram, Tamil Nadu. The complainant stated that the accused issued a dishonored negotiable instrument amounting to a substantial sum during a commercial exchange near the local marketplace, while a nearby shopkeeper confirmed observing the transaction and the presence of vehicles bearing registration numbers AS48EB5916 and AS33YS8013 at the scene. Investigating officers recovered the bounced cheque and related bank referral documents as physical evidence from the spot. Preliminary inquiry has been initiated, and further procedural verification of the financial records is underway.",closed
