social_account_id,person_id,platform,username,display_name,created_date,follower_count,is_verified
fa381d89-708d-42bb-a510-21e2105df5f4,aec12e43-108b-427a-aa5e-9172fc135ca3,WhatsApp,naman.mittal,Naman Mittal,2022-03-15,,0
07b70d2e-567f-4470-8efd-ddd401116bea,a6a6df1b-5f66-4c8b-b473-5a3ab770f17a,Facebook,vishal.desai,Vishal Desai,2015-11-16,178,0
4992a8d8-2d46-4bc0-a2ad-5b1b3215d245,a6a6df1b-5f66-4c8b-b473-5a3ab770f17a,WhatsApp,vishal_desai346,Vishal Desai,2019-09-17,,0
ba0fdb79-2fc6-406e-8b19-ec570207a297,53240630-41a5-484a-b367-e3c8ea343e4c,WhatsApp,PrinceRider59,PrinceRider59,2017-11-23,,0
a081f6f9-5f51-4598-95cc-6a6a3b3d96c2,53240630-41a5-484a-b367-e3c8ea343e4c,Facebook,dhruv_basu,Dhruv Basu,2016-07-16,594,0
738f6ae8-b9b0-45f0-a454-e16053b15013,565e485b-93b0-4779-8562-889a76de5c1d,Facebook,DesertTiger263,DesertTiger263,2021-04-15,58,0
95051f04-98c8-46b4-9b7d-cd93b5f7ab3d,ad49bd53-d644-487a-8590-ae1d570c3454,Telegram,sandeep_raghavan696,Sandeep Raghavan,2020-08-13,,0
9e904273-fda9-4d8a-807d-8d785bc313c6,7a8dcb3d-2353-4f1c-8481-583a228493ce,WhatsApp,RealHunter,RealHunter,2021-04-20,,0
2f1ada47-effa-4520-84f1-c1a51445da4c,7a8dcb3d-2353-4f1c-8481-583a228493ce,Twitter,SilentBaba406,SilentBaba406,2021-04-03,327,0
85941041-18bc-4db6-b861-c7aaee42bfc5,bb92ad30-66e1-4be1-b2ff-cf53d52b6c13,Facebook,jagdish.chaturvedi523,Jagdish Chaturvedi,2019-10-24,909,0
897854e8-a5b3-4586-8d1d-21a305ccfdfd,bb92ad30-66e1-4be1-b2ff-cf53d52b6c13,Telegram,SultanWarrior,SultanWarrior,2020-03-11,,0
