phone_id,person_id,phone_number,phone_type,carrier,activated_date,is_active
07b555f6-b487-4775-9df1-a0472dd793c5,00389333-eb97-4b4e-9a86-50eecff7d14d,+91 3618221264,primary,Vishwa Telelinks Limited,2017-04-21,1
f09b0064-e72a-415e-b034-58a5b711cd86,003cbc5f-6bd1-45c8-802a-83208f9052bf,+91 4723752991,primary,Pragati Wireless Communications,2020-12-09,1
e5bc616f-5cc6-4b6e-9751-9b3ba2a1a81f,00a12545-922e-4c12-8979-fcd4ce73b8ab,+91 5675439855,primary,Pragati Wireless Communications,2022-04-28,1
04763dd8-4483-4f46-bd21-a95147dd3841,00a12545-922e-4c12-8979-fcd4ce73b8ab,+91 9945888940,secondary,Aryavart Mobile Networks,2024-01-10,1
3219e857-1886-4268-aa33-b20c903d819a,00f7fb61-8bdc-4b32-9a3d-a6798f67c868,+91 4200590564,primary,Aryavart Mobile Networks,2018-11-25,1
314be4b0-3963-49b1-9969-0a2e0bb0424d,0114128c-ec6e-4071-bdc3-f5c5664b0ed6,+91 4580451028,primary,Aryavart Mobile Networks,2016-05-01,1
1cbcbc8a-d4c8-4f28-b4b0-f26d938c93b2,012bd782-f3ea-4ed4-8482-37d110afbbdf,+91 1229458101,primary,Aryavart Mobile Networks,2023-05-04,1
ef088d21-6068-47cc-9bba-ccab71d61b7e,012bd782-f3ea-4ed4-8482-37d110afbbdf,+91 0290236753,work,Vishwa Telelinks Limited,2021-03-12,1
def51eb2-ccca-4209-a097-23ebe3ddd2bd,012daffe-1970-46c9-a13d-c4bacae01ef1,+91 4457430286,primary,Aryavart Mobile Networks,2023-12-06,1
e0cbd4fc-72be-4ec1-ac81-471500d4696b,0139f6c3-ea26-4a2f-a382-088470d13e1a,+91 7742564987,primary,Aryavart Mobile Networks,2016-06-03,1
263a4a00-6f8f-4685-b9f9-7b49fa092a75,0163f435-0730-42c5-b9c8-33cdbcfa29a1,+91 1760115150,primary,Aryavart Mobile Networks,2020-04-09,1
